title,author,isbn_13,format_code,location_code,notes,cover_url
Cards on the Table,Agatha Christie,9788427285262.0,PB,F2-B16-S09,,https://covers.openlibrary.org/b/isbn/9788427285262-L.jpg
Cat & Mouse,James Patterson,9789652867926.0,PB,F1-B10-S06,,https://covers.openlibrary.org/b/isbn/9789652867926-L.jpg
Cat & Mouse,James Patterson,9789652867926.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9789652867926-L.jpg
Cat & Mouse,James Patterson,9789652867926.0,PB,F1-B10-S06,,https://covers.openlibrary.org/b/isbn/9789652867926-L.jpg
Cat & Mouse,James Patterson,9789652867926.0,PB,F1-B10-S06,,https://covers.openlibrary.org/b/isbn/9789652867926-L.jpg
Cat Among the Pigeons,Agatha Christie,9780061716461.0,PB,F1-B04-S04,,https://covers.openlibrary.org/b/isbn/9780061716461-L.jpg
Cat Among the Pigeons,Agatha Christie,9780061716461.0,PB,F1-B04-S04,,https://covers.openlibrary.org/b/isbn/9780061716461-L.jpg
Cat Among the Pigeons,Agatha Christie,9780061716461.0,ACD,F0-B15-S10,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780061716461-L.jpg
Cat Among the Pigeons,Agatha Christie,9780061716461.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9780061716461-L.jpg
Cat Among the Pigeons,Agatha Christie,9780061716461.0,PB,F1-B04-S04,,https://covers.openlibrary.org/b/isbn/9780061716461-L.jpg
Cause of Death,Patricia Cornwell,9780751590371.0,PB,F2-B04-S02,,https://covers.openlibrary.org/b/isbn/9780751590371-L.jpg
Cause of Death,Patricia Cornwell,9780751590371.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9780751590371-L.jpg
Cause of Death,Patricia Cornwell,9780751590371.0,PB,F2-B04-S02,,https://covers.openlibrary.org/b/isbn/9780751590371-L.jpg
Cause of Death,Patricia Cornwell,9780751590371.0,ACD,F1-B25-S08,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780751590371-L.jpg
Ceremony in Death,Nora Roberts,9780340674895.0,PB,F1-B20-S02,,https://covers.openlibrary.org/b/isbn/9780340674895-L.jpg
Ceremony in Death,Nora Roberts,9780340674895.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9780340674895-L.jpg
Charlie and the Chocolate Factory,Roald Dahl,9780394910116.0,PB,F2-B09-S04,,https://covers.openlibrary.org/b/isbn/9780394910116-L.jpg
Charlie and the Chocolate Factory,Roald Dahl,9780394910116.0,PB,F2-B09-S04,,https://covers.openlibrary.org/b/isbn/9780394910116-L.jpg
Charlie and the Chocolate Factory,Roald Dahl,9780394910116.0,PB,F2-B09-S04,,https://covers.openlibrary.org/b/isbn/9780394910116-L.jpg
Charlie and the Chocolate Factory,Roald Dahl,9780394910116.0,PB,F2-B09-S04,,https://covers.openlibrary.org/b/isbn/9780394910116-L.jpg
Charlie and the Chocolate Factory,Roald Dahl,9780394910116.0,PB,F2-B09-S04,,https://covers.openlibrary.org/b/isbn/9780394910116-L.jpg
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705.0,PB,F2-B17-S08,,https://covers.openlibrary.org/b/isbn/9780241568705-L.jpg
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705.0,PB,F2-B17-S08,,https://covers.openlibrary.org/b/isbn/9780241568705-L.jpg
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705.0,ACD,F1-B15-S09,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780241568705-L.jpg
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705.0,PB,F2-B17-S08,,https://covers.openlibrary.org/b/isbn/9780241568705-L.jpg
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705.0,PB,F2-B17-S08,,https://covers.openlibrary.org/b/isbn/9780241568705-L.jpg
Charlotte's Web,E. B. White,9788804559511.0,PB,F2-B11-S07,,https://covers.openlibrary.org/b/isbn/9788804559511-L.jpg
Charlotte's Web,E. B. White,9788804559511.0,ACD,F1-B18-S03,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9788804559511-L.jpg
"Clarissa Or The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children,in relation to marriage",Samuel Richardson,9781421908670.0,PB,F2-B13-S05,,https://covers.openlibrary.org/b/isbn/9781421908670-L.jpg
"Clarissa Or The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children,in relation to marriage",Samuel Richardson,9781421908670.0,PB,F2-B13-S05,,https://covers.openlibrary.org/b/isbn/9781421908670-L.jpg
"Clarissa Or The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children,in relation to marriage",Samuel Richardson,9781421908670.0,LP,F1-B05-S07,Large print edition, https://covers.openlibrary.org/b/isbn/9781421908670-L.jpg
"Clarissa Or The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children,in relation to marriage",Samuel Richardson,9781421908670.0,PB,F2-B13-S05,,https://covers.openlibrary.org/b/isbn/9781421908670-L.jpg
"Clarissa Or The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children,in relation to marriage",Samuel Richardson,9781421908670.0,PB,F2-B13-S05,,https://covers.openlibrary.org/b/isbn/9781421908670-L.jpg
Clouds of Witness,Dorothy L. Sayers,9789997530721.0,PB,F1-B22-S06,,https://covers.openlibrary.org/b/isbn/9789997530721-L.jpg
Clouds of Witness,Dorothy L. Sayers,9789997530721.0,PB,F1-B22-S06,,https://covers.openlibrary.org/b/isbn/9789997530721-L.jpg
Clouds of Witness,Dorothy L. Sayers,9789997530721.0,PB,F1-B22-S06,,https://covers.openlibrary.org/b/isbn/9789997530721-L.jpg
Clouds of Witness,Dorothy L. Sayers,9789997530721.0,LP,F1-B10-S02,Large print edition,https://covers.openlibrary.org/b/isbn/9789997530721-L.jpg
Crime and criminology,R. D. White,9780195426090.0,PB,F2-B26-S01,,https://covers.openlibrary.org/b/isbn/9780195426090-L.jpg
Crime and criminology,R. D. White,9780195426090.0,LP,F1-B03-S09,Large print edition,https://covers.openlibrary.org/b/isbn/9780195426090-L.jpg
Crime and criminology,R. D. White,9780195426090.0,PB,F2-B26-S01,,https://covers.openlibrary.org/b/isbn/9780195426090-L.jpg
Crime and criminology,R. D. White,9780195426090.0,PB,F2-B26-S01,,https://covers.openlibrary.org/b/isbn/9780195426090-L.jpg
Crime and criminology,Sue Titus Reid,9781454855835.0,PB,F2-B15-S02,Donated copy,https://covers.openlibrary.org/b/isbn/9781454855835-L.jpg
Crime and criminology,Sue Titus Reid,9781454855835.0,PB,F2-B15-S02,Donated copy,https://covers.openlibrary.org/b/isbn/9781454855835-L.jpg
Crime and criminology,Sue Titus Reid,9781454855835.0,PB,F2-B15-S02,Donated copy,https://covers.openlibrary.org/b/isbn/9781454855835-L.jpg
Crime and criminology,Sue Titus Reid,9781454855835.0,PB,F2-B15-S02,Donated copy,https://covers.openlibrary.org/b/isbn/9781454855835-L.jpg
Crime and Punishment,§ë¥æÄ ú∏Ö∞πªæ≤∏á îæÅÇæµ≤Å∫∏π,9781988120591.0,PB,F1-B16-S04,,https://covers.openlibrary.org/b/isbn/9781988120591-L.jpg
Crime and Punishment,§ë¥æÄ ú∏Ö∞πªæ≤∏á îæÅÇæµ≤Å∫∏π,9781988120591.0,ADIG,,Audiobook (digital); Slightly damaged cover,https://covers.openlibrary.org/b/isbn/9781988120591-L.jpg
Crime and Punishment,§ë¥æÄ ú∏Ö∞πªæ≤∏á îæÅÇæµ≤Å∫∏π,9781722344054.0,PB,F2-B27-S08,,https://covers.openlibrary.org/b/isbn/9781722344054-L.jpg
Crime and Punishment,§ë¥æÄ ú∏Ö∞πªæ≤∏á îæÅÇæµ≤Å∫∏π,9781722344054.0,ACD,F1-B24-S06,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9781722344054-L.jpg
Crime Of Passion,Lynne Graham,9780263841022.0,PB,F1-B21-S04,,https://covers.openlibrary.org/b/isbn/9780263841022-L.jpg
Crime Of Passion,Lynne Graham,9780263841022.0,PB,F1-B21-S04,,https://covers.openlibrary.org/b/isbn/9780263841022-L.jpg
Crime Of Passion,Lynne Graham,9780263841022.0,PB,F1-B21-S04,,https://covers.openlibrary.org/b/isbn/9780263841022-L.jpg
Crime Of Passion,Lynne Graham,9780263841022.0,PB,F1-B21-S04,,https://covers.openlibrary.org/b/isbn/9780263841022-L.jpg
Criminalistics,Richard Saferstein,9780132216555.0,PB,F2-B08-S08,,https://covers.openlibrary.org/b/isbn/9780132216555-L.jpg
Criminalistics,Richard Saferstein,9780132216555.0,PB,F2-B08-S08,,https://covers.openlibrary.org/b/isbn/9780132216555-L.jpg
Criminalistics,Richard Saferstein,9780132216555.0,LP,F1-B05-S08,Large print edition,https://covers.openlibrary.org/b/isbn/9780132216555-L.jpg
Criminalistics,Richard Saferstein,9780132216555.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9780132216555-L.jpg
Criminalistics,Richard Saferstein,9780132216555.0,PB,F2-B08-S08,,https://covers.openlibrary.org/b/isbn/9780132216555-L.jpg
Crooked House,Agatha Christie,9781405678131.0,PB,F1-B13-S10,,https://covers.openlibrary.org/b/isbn/9781405678131-L.jpg
Crooked House,Agatha Christie,9781405678131.0,PB,F1-B13-S10,,https://covers.openlibrary.org/b/isbn/9781405678131-L.jpg
Crooked House,Agatha Christie,9781405678131.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9781405678131-L.jpg
Crooked House,Agatha Christie,9781405678131.0,PB,F1-B13-S10,,https://covers.openlibrary.org/b/isbn/9781405678131-L.jpg
Crooked House,Agatha Christie,9781405678131.0,PB,F1-B13-S10,,https://covers.openlibrary.org/b/isbn/9781405678131-L.jpg
Cyber Security,Nina Godpole,9788126521791.0,PB,F1-B17-S06,Staff pick,https://covers.openlibrary.org/b/isbn/9788126521791-L.jpg
Cyber Security,Nina Godpole,9788126521791.0,ADIG,,Audiobook (digital); Donated copy,https://covers.openlibrary.org/b/isbn/9788126521791-L.jpg
Dark Places,Gillian Flynn,9780753827031.0,PB,F1-B02-S07,,https://covers.openlibrary.org/b/isbn/9780753827031-L.jpg
Dark Places,Gillian Flynn,9780753827031.0,PB,F1-B02-S07,,https://covers.openlibrary.org/b/isbn/9780753827031-L.jpg
Dark Places,Gillian Flynn,9780753827031.0,PB,F1-B02-S07,,https://covers.openlibrary.org/b/isbn/9780753827031-L.jpg
Dark Places,Gillian Flynn,9780753827031.0,ACD,F1-B26-S03,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780753827031-L.jpg
Darkly dreaming Dexter,Jeffry P. Lindsay,9781405610469.0,PB,F2-B05-S10,,https://covers.openlibrary.org/b/isbn/9781405610469-L.jpg
Darkly dreaming Dexter,Jeffry P. Lindsay,9781405610469.0,ACD,F0-B13-S10,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9781405610469-L.jpg
Dead Man's Folly,Agatha Christie,9782013919937.0,PB,F1-B14-S01,,https://covers.openlibrary.org/b/isbn/9782013919937-L.jpg
Dead Man's Folly,Agatha Christie,9782013919937.0,ACD,F0-B24-S06,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9782013919937-L.jpg
Death Comes as the End,Agatha Christie,9780007354696.0,PB,F1-B03-S05,,https://covers.openlibrary.org/b/isbn/9780007354696-L.jpg
Death Comes as the End,Agatha Christie,9780007354696.0,PB,F1-B03-S05,,https://covers.openlibrary.org/b/isbn/9780007354696-L.jpg
Death Comes as the End,Agatha Christie,9780007354696.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9780007354696-L.jpg
Death Comes as the End,Agatha Christie,9780007354696.0,ACD,F1-B18-S02,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780007354696-L.jpg
Death Comes as the End,Agatha Christie,9780007354696.0,LP,F1-B10-S02,Large print edition,https://covers.openlibrary.org/b/isbn/9780007354696-L.jpg
Death in the Clouds,Agatha Christie,9789794030714.0,PB,F2-B25-S09,,https://covers.openlibrary.org/b/isbn/9789794030714-L.jpg
Death in the Clouds,Agatha Christie,9789794030714.0,PB,F2-B25-S09,,https://covers.openlibrary.org/b/isbn/9789794030714-L.jpg
Death in the Clouds,Agatha Christie,9789794030714.0,PB,F2-B25-S09,,https://covers.openlibrary.org/b/isbn/9789794030714-L.jpg
Death in the Clouds,Agatha Christie,9789794030714.0,ACD,F1-B11-S03,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9789794030714-L.jpg
Death in the Clouds,Agatha Christie,9789794030714.0,PB,F2-B25-S09,,https://covers.openlibrary.org/b/isbn/9789794030714-L.jpg
Death on the Nile,Agatha Christie,9780007422289.0,PB,F2-B26-S08,,https://covers.openlibrary.org/b/isbn/9780007422289-L.jpg
Death on the Nile,Agatha Christie,9780007422289.0,LP,F1-B21-S08,Large print edition,https://covers.openlibrary.org/b/isbn/9780007422289-L.jpg
Death on the Nile,Agatha Christie,9780007422289.0,PB,F2-B26-S08,,https://covers.openlibrary.org/b/isbn/9780007422289-L.jpg
Death on the Nile,Agatha Christie,9780007422289.0,PB,F2-B26-S08,,https://covers.openlibrary.org/b/isbn/9780007422289-L.jpg
Destination Unknown,Agatha Christie,9780671824655.0,PB,F1-B02-S04,,https://covers.openlibrary.org/b/isbn/9780671824655-L.jpg
Destination Unknown,Agatha Christie,9780671824655.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9780671824655-L.jpg
Diary of a Wimpy Kid,Jeff Kinney,9788427226241.0,PB,F2-B10-S10,,https://covers.openlibrary.org/b/isbn/9788427226241-L.jpg
Diary of a Wimpy Kid,Jeff Kinney,9788427226241.0,PB,F2-B10-S10,,https://covers.openlibrary.org/b/isbn/9788427226241-L.jpg
Diary of a Wimpy Kid,Jeff Kinney,9788427226241.0,PB,F2-B10-S10,,https://covers.openlibrary.org/b/isbn/9788427226241-L.jpg
Diary of a Wimpy Kid,Jeff Kinney,9788427226241.0,PB,F2-B10-S10,,https://covers.openlibrary.org/b/isbn/9788427226241-L.jpg
Diary of a Wimpy Kid,Jeff Kinney,9788427226241.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9788427226241-L.jpg
Dictionary of Daily Life in Biblical and Post-Biblical Antiquity,Edwin M. Yamauchi,9781496469304.0,PB,F1-B10-S08,,https://covers.openlibrary.org/b/isbn/9781496469304-L.jpg
Dictionary of Daily Life in Biblical and Post-Biblical Antiquity,Edwin M. Yamauchi,9781496469304.0,LP,F1-B04-S01,Large print edition,https://covers.openlibrary.org/b/isbn/9781496469304-L.jpg
Different Seasons,Stephen King,9785170027255.0,PB,F2-B22-S10,,https://covers.openlibrary.org/b/isbn/9785170027255-L.jpg
Different Seasons,Stephen King,9785170027255.0,PB,F2-B22-S10,,https://covers.openlibrary.org/b/isbn/9785170027255-L.jpg
Different Seasons,Stephen King,9785170027255.0,PB,F2-B22-S10,,https://covers.openlibrary.org/b/isbn/9785170027255-L.jpg
Different Seasons,Stephen King,9785170027255.0,PB,F2-B22-S10,,https://covers.openlibrary.org/b/isbn/9785170027255-L.jpg
Different Seasons,Stephen King,9785170027255.0,PB,F2-B22-S10,,https://covers.openlibrary.org/b/isbn/9785170027255-L.jpg
Dirk Gently‚Äôs Holistic Detective Agency,Douglas Adams,9780613997157.0,PB,F1-B20-S06,,https://covers.openlibrary.org/b/isbn/9780613997157-L.jpg
Dirk Gently‚Äôs Holistic Detective Agency,Douglas Adams,9780613997157.0,PB,F1-B20-S06,,https://covers.openlibrary.org/b/isbn/9780613997157-L.jpg
Dirk Gently‚Äôs Holistic Detective Agency,Douglas Adams,9780613997157.0,PB,F1-B20-S06,,https://covers.openlibrary.org/b/isbn/9780613997157-L.jpg
Dirk Gently‚Äôs Holistic Detective Agency,Douglas Adams,9780613997157.0,PB,F1-B20-S06,,https://covers.openlibrary.org/b/isbn/9780613997157-L.jpg
Dolores Claiborne,Stephen King,9789700504575.0,PB,F2-B21-S07,,https://covers.openlibrary.org/b/isbn/9789700504575-L.jpg
Dolores Claiborne,Stephen King,9789700504575.0,PB,F2-B21-S07,,https://covers.openlibrary.org/b/isbn/9789700504575-L.jpg
Dolores Claiborne,Stephen King,9789700504575.0,PB,F2-B21-S07,,https://covers.openlibrary.org/b/isbn/9789700504575-L.jpg
Dolores Claiborne,Stephen King,9789700504575.0,PB,F2-B21-S07,,https://covers.openlibrary.org/b/isbn/9789700504575-L.jpg
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632.0,PB,F2-B15-S10,,https://covers.openlibrary.org/b/isbn/9780665789632-L.jpg
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632.0,PB,F2-B15-S10,,https://covers.openlibrary.org/b/isbn/9780665789632-L.jpg
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632.0,ACD,F1-B10-S05,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780665789632-L.jpg
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632.0,PB,F2-B15-S10,,https://covers.openlibrary.org/b/isbn/9780665789632-L.jpg
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632.0,PB,F2-B15-S10,,https://covers.openlibrary.org/b/isbn/9780665789632-L.jpg
Dragon Ball Z; Thank You,È≥•Â±± Êòé [Akira Toriyama],9781415657690.0,PB,F2-B01-S02,,https://covers.openlibrary.org/b/isbn/9781415657690-L.jpg
Dragon Ball Z; Thank You,È≥•Â±± Êòé [Akira Toriyama],9781415657690.0,LP,F1-B12-S07,Large print edition,https://covers.openlibrary.org/b/isbn/9781415657690-L.jpg
Dragon Ball Z; Thank You,È≥•Â±± Êòé [Akira Toriyama],9781415657690.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9781415657690-L.jpg
Dragon Ball Z; Thank You,È≥•Â±± Êòé [Akira Toriyama],9781415657690.0,PB,F2-B01-S02,,https://covers.openlibrary.org/b/isbn/9781415657690-L.jpg
Dragon Ball Z; Thank You,È≥•Â±± Êòé [Akira Toriyama],9781415657690.0,PB,F2-B01-S02,,https://covers.openlibrary.org/b/isbn/9781415657690-L.jpg
Elephants Can Remember,Agatha Christie,9789573248033.0,PB,F1-B03-S07,,https://covers.openlibrary.org/b/isbn/9789573248033-L.jpg
Elephants Can Remember,Agatha Christie,9789573248033.0,EBK,,eBook edition,https://covers.openlibrary.org/b/isbn/9789573248033-L.jpg
Emily of New Moon,Lucy Maud Montgomery,9780486841892.0,PB,F1-B12-S06,,https://covers.openlibrary.org/b/isbn/9780486841892-L.jpg
Emily of New Moon,Lucy Maud Montgomery,9780486841892.0,ACD,F0-B22-S05,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780486841892-L.jpg
Empire of Pain,Patrick Radden Keefe,9788417339739.0,PB,F1-B16-S10,,https://covers.openlibrary.org/b/isbn/9788417339739-L.jpg
Empire of Pain,Patrick Radden Keefe,9788417339739.0,PB,F1-B16-S10,,https://covers.openlibrary.org/b/isbn/9788417339739-L.jpg
Empire of Pain,Patrick Radden Keefe,9788417339739.0,PB,F1-B16-S10,,https://covers.openlibrary.org/b/isbn/9788417339739-L.jpg
Empire of Pain,Patrick Radden Keefe,9788417339739.0,PB,F1-B16-S10,,https://covers.openlibrary.org/b/isbn/9788417339739-L.jpg
End of Watch,Stephen King,9781473634039.0,PB,F1-B18-S03,,https://covers.openlibrary.org/b/isbn/9781473634039-L.jpg
End of Watch,Stephen King,9781473634039.0,PB,F1-B18-S03,,https://covers.openlibrary.org/b/isbn/9781473634039-L.jpg
End of Watch,Stephen King,9781473634039.0,LP,F1-B22-S05,Large print edition,https://covers.openlibrary.org/b/isbn/9781473634039-L.jpg
End of Watch,Stephen King,9781473634039.0,PB,F1-B18-S03,,https://covers.openlibrary.org/b/isbn/9781473634039-L.jpg
Endless Night,Agatha Christie,9780671425111.0,PB,F2-B22-S09,,https://covers.openlibrary.org/b/isbn/9780671425111-L.jpg
Endless Night,Agatha Christie,9780671425111.0,PB,F2-B22-S09,,https://covers.openlibrary.org/b/isbn/9780671425111-L.jpg
Endless Night,Agatha Christie,9780671425111.0,PB,F2-B22-S09,,https://covers.openlibrary.org/b/isbn/9780671425111-L.jpg
Endless Night,Agatha Christie,9780671425111.0,PB,F2-B22-S09,,https://covers.openlibrary.org/b/isbn/9780671425111-L.jpg
Endless Night,Agatha Christie,9780671425111.0,PB,F2-B22-S09,,https://covers.openlibrary.org/b/isbn/9780671425111-L.jpg
Evil Under the Sun,Agatha Christie,9780007119264.0,PB,F2-B17-S05,,https://covers.openlibrary.org/b/isbn/9780007119264-L.jpg
Evil Under the Sun,Agatha Christie,9780007119264.0,PB,F2-B17-S05,,https://covers.openlibrary.org/b/isbn/9780007119264-L.jpg
Evil Under the Sun,Agatha Christie,9780007119264.0,PB,F2-B17-S05,,https://covers.openlibrary.org/b/isbn/9780007119264-L.jpg
Evil Under the Sun,Agatha Christie,9780007119264.0,ACD,F1-B15-S01,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780007119264-L.jpg
Fantastic Beasts,J. K. Rowling,9780751578287.0,PB,F2-B12-S05,,https://covers.openlibrary.org/b/isbn/9780751578287-L.jpg
Fantastic Beasts,J. K. Rowling,9780751578287.0,PB,F2-B12-S05,,https://covers.openlibrary.org/b/isbn/9780751578287-L.jpg
Fantastic Beasts,J. K. Rowling,9780751578287.0,PB,F2-B12-S05,,https://covers.openlibrary.org/b/isbn/9780751578287-L.jpg
Fantastic Beasts,J. K. Rowling,9780751578287.0,PB,F2-B12-S05,,https://covers.openlibrary.org/b/isbn/9780751578287-L.jpg
Fantastic Beasts,J. K. Rowling,9780751578287.0,PB,F2-B12-S05,,https://covers.openlibrary.org/b/isbn/9780751578287-L.jpg
Fantastic Mr Fox,Roald Dahl,9782070552689.0,PB,F2-B28-S05,,https://covers.openlibrary.org/b/isbn/9782070552689-L.jpg
Fantastic Mr Fox,Roald Dahl,9782070552689.0,PB,F2-B28-S05,,https://covers.openlibrary.org/b/isbn/9782070552689-L.jpg
Fantastic Mr Fox,Roald Dahl,9782070552689.0,PB,F2-B28-S05,,https://covers.openlibrary.org/b/isbn/9782070552689-L.jpg
Fantastic Mr Fox,Roald Dahl,9782070552689.0,PB,F2-B28-S05,,https://covers.openlibrary.org/b/isbn/9782070552689-L.jpg
Glory in Death,Nora Roberts,9780425150986.0,PB,F2-B10-S01,,https://covers.openlibrary.org/b/isbn/9780425150986-L.jpg
Glory in Death,Nora Roberts,9780425150986.0,EBK,,eBook edition,https://covers.openlibrary.org/b/isbn/9780425150986-L.jpg
Great Expectations,Charles Dickens,9781409061137.0,PB,F2-B11-S06,Staff pick,https://covers.openlibrary.org/b/isbn/9781409061137-L.jpg
Great Expectations,Charles Dickens,9781409061137.0,LP,F1-B28-S03,Large print edition,https://covers.openlibrary.org/b/isbn/9781409061137-L.jpg
Greenmantle,John Buchan,9781461022862.0,PB,F1-B16-S05,Staff pick,https://covers.openlibrary.org/b/isbn/9781461022862-L.jpg
Greenmantle,John Buchan,9781461022862.0,PB,F1-B16-S05,Staff pick,https://covers.openlibrary.org/b/isbn/9781461022862-L.jpg
Greenmantle,John Buchan,9781461022862.0,ACD,F0-B08-S03,Staff pick; Audiobook (CD),https://covers.openlibrary.org/b/isbn/9781461022862-L.jpg
Greenmantle,John Buchan,9781461022862.0,ADIG,,Staff pick; Audiobook (digital),https://covers.openlibrary.org/b/isbn/9781461022862-L.jpg
Greenmantle,John Buchan,9781461022862.0,PB,F1-B16-S05,Staff pick,https://covers.openlibrary.org/b/isbn/9781461022862-L.jpg
Guess How Much I Love You,Sam McBratney,9783794151257.0,PB,F1-B08-S03,,https://covers.openlibrary.org/b/isbn/9783794151257-L.jpg
Guess How Much I Love You,Sam McBratney,9783794151257.0,EBK,,eBook edition,https://covers.openlibrary.org/b/isbn/9783794151257-L.jpg
Hallowe'en Party,Agatha Christie,9780008256142.0,PB,F1-B27-S07,,https://covers.openlibrary.org/b/isbn/9780008256142-L.jpg
Hallowe'en Party,Agatha Christie,9780008256142.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9780008256142-L.jpg
Harry Potter and the Chamber of Secrets,J. K. Rowling,9781856136129.0,PB,F2-B11-S09,,https://covers.openlibrary.org/b/isbn/9781856136129-L.jpg
Harry Potter and the Chamber of Secrets,J. K. Rowling,9781856136129.0,ACD,F1-B14-S01,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9781856136129-L.jpg
Harry Potter and the Deathly Hallows,J. K. Rowling,9785389077928.0,PB,F2-B27-S02,,https://covers.openlibrary.org/b/isbn/9785389077928-L.jpg
Harry Potter and the Deathly Hallows,J. K. Rowling,9785389077928.0,PB,F2-B27-S02,,https://covers.openlibrary.org/b/isbn/9785389077928-L.jpg
Harry Potter and the Deathly Hallows,J. K. Rowling,9785389077928.0,PB,F2-B27-S02,,https://covers.openlibrary.org/b/isbn/9785389077928-L.jpg
Harry Potter and the Deathly Hallows,J. K. Rowling,9785389077928.0,LP,F1-B28-S05,Large print edition,https://covers.openlibrary.org/b/isbn/9785389077928-L.jpg
Harry Potter and the Goblet of Fire,J. K. Rowling,9789750803314.0,PB,F1-B01-S05,,https://covers.openlibrary.org/b/isbn/9789750803314-L.jpg
Harry Potter and the Goblet of Fire,J. K. Rowling,9789750803314.0,EBK,,eBook edition,https://covers.openlibrary.org/b/isbn/9789750803314-L.jpg
Harry Potter and the Order of the Phoenix,J. K. Rowling,9780747570738.0,PB,F1-B19-S04,,https://covers.openlibrary.org/b/isbn/9780747570738-L.jpg
Harry Potter and the Order of the Phoenix,J. K. Rowling,9780747570738.0,ACD,F1-B04-S02,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780747570738-L.jpg
Harry Potter and the Order of the Phoenix,J. K. Rowling,9780747570738.0,PB,F1-B19-S04,,https://covers.openlibrary.org/b/isbn/9780747570738-L.jpg
Harry Potter and the Order of the Phoenix,J. K. Rowling,9780747570738.0,PB,F1-B19-S04,,https://covers.openlibrary.org/b/isbn/9780747570738-L.jpg
Harry Potter and the Philosopher's Stone,J. K. Rowling,9757501956008.0,PB,F2-B23-S05,,https://covers.openlibrary.org/b/isbn/9757501956008-L.jpg
Harry Potter and the Philosopher's Stone,J. K. Rowling,9757501956008.0,LP,F1-B06-S10,Large print edition; Missing dust jacket,https://covers.openlibrary.org/b/isbn/9757501956008-L.jpg
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9788418174261.0,PB,F1-B08-S01,,https://covers.openlibrary.org/b/isbn/9788418174261-L.jpg
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9788418174261.0,PB,F1-B08-S01,,https://covers.openlibrary.org/b/isbn/9788418174261-L.jpg
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9788418174261.0,PB,F1-B08-S01,,https://covers.openlibrary.org/b/isbn/9788418174261-L.jpg
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,9788418174261.0,ACD,F0-B22-S02,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9788418174261-L.jpg
Heinemann Mathematics,Scottish Primary Mathematics Group,9780435028480.0,PB,F1-B10-S09,,https://covers.openlibrary.org/b/isbn/9780435028480-L.jpg
Heinemann Mathematics,Scottish Primary Mathematics Group,9780435028480.0,ADIG,,Audiobook (digital); Slightly damaged cover,https://covers.openlibrary.org/b/isbn/9780435028480-L.jpg
Hercule Poirot's Christmas,Agatha Christie,9780553119251.0,PB,F2-B03-S01,Staff pick,https://covers.openlibrary.org/b/isbn/9780553119251-L.jpg
